,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,perc_approved_sem1,perc_approved_sem2,actual_target
802,1,17,4,9147,1,1,Q1,1,19,19,5,5,Q1,1,0,0,1,0,0,Q1,0,0,5,7,5,13.6,0,0,5,6,5,12.2,0,Q1,Q2,3.51,Graduate,Q2,Q2,0
3302,1,17,1,9500,1,1,Q1,1,37,37,9,8,Q1,1,0,0,1,0,1,Q1,0,0,7,8,7,13.46875,0,0,8,8,8,13.31375,0,Q4,Q4,-4.06,Graduate,Q2,Q2,0
3758,1,44,1,9085,1,1,Q1,1,1,1,4,3,Q2,1,0,0,1,0,0,Q2,0,0,6,13,5,11.8,0,0,6,19,4,12.0,0,Q3,Q2,1.79,Enrolled,Q1,Q1,0
3035,1,1,1,9254,1,1,Q2,1,12,1,4,4,Q1,1,0,0,1,0,0,Q1,0,0,6,8,6,11.333333333333334,0,0,6,11,6,10.833333333333334,0,Q1,Q3,0.32,Graduate,Q2,Q2,0
2487,1,18,1,9147,1,1,Q2,1,19,1,9,7,Q2,1,0,0,1,1,0,Q2,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Q3,Q2,1.79,Dropout,Q1,Q1,1
129,1,17,6,9500,1,1,Q1,1,1,37,8,9,Q2,1,0,0,1,0,0,Q1,0,0,7,7,7,13.467142857142855,0,0,8,9,8,15.011111111111113,0,Q3,Q2,1.79,Graduate,Q2,Q2,0
916,2,39,1,9991,0,1,Q2,1,34,34,90,90,Q1,1,0,0,1,0,0,Q4,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,Q1,Q3,0.32,Dropout,Q1,Q1,1
3272,4,42,1,9147,1,1,Q1,1,37,37,9,9,Q2,0,0,0,1,0,0,Q4,0,8,14,24,11,12.25,3,5,10,12,10,13.4,0,Q1,Q1,-3.12,Graduate,Q1,Q2,0
703,2,39,1,9991,0,1,Q1,1,37,37,9,9,Q2,1,0,0,1,1,0,Q4,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Q1,Q3,0.32,Dropout,Q1,Q1,1
3835,2,39,1,9003,1,1,Q1,1,2,2,1,4,Q1,0,0,0,1,1,0,Q4,0,3,12,12,3,12.0,0,5,12,16,5,11.8,0,Q4,Q4,-4.06,Dropout,Q1,Q1,1
4051,1,17,4,9254,1,1,Q1,1,38,19,7,7,Q1,1,0,0,1,0,1,Q1,0,0,6,6,6,12.166666666666666,0,0,6,6,6,12.166666666666666,0,Q3,Q2,1.79,Graduate,Q2,Q2,0
2051,1,17,1,9238,1,1,Q1,1,38,38,7,7,Q1,1,0,0,1,0,1,Q1,0,0,6,6,6,11.333333333333334,0,0,6,7,6,12.285714285714286,0,Q4,Q4,-4.06,Graduate,Q2,Q2,0
425,1,1,1,9500,1,1,Q2,1,37,37,9,3,Q2,0,0,0,1,0,0,Q2,0,0,7,7,6,13.916666666666666,0,0,7,7,6,13.916666666666666,0,Q1,Q3,0.32,Graduate,Q1,Q2,0
812,1,17,1,9500,1,1,Q2,1,19,38,9,9,Q2,0,0,0,1,0,1,Q1,0,0,7,7,7,14.145714285714286,0,0,8,9,8,13.627777777777778,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
2526,1,1,4,9070,1,1,Q2,1,1,1,9,7,Q2,1,0,0,1,0,1,Q1,0,0,6,6,6,14.5,0,0,6,6,6,12.833333333333334,0,Q3,Q2,1.79,Dropout,Q2,Q2,1
4106,1,17,4,9773,1,1,Q1,1,1,38,5,7,Q1,1,0,0,1,0,0,Q2,0,0,6,9,4,13.25,0,0,6,11,5,11.8,0,Q3,Q2,1.79,Graduate,Q1,Q1,0
2531,1,44,1,9003,1,39,Q2,1,37,38,9,6,Q2,0,0,0,1,0,1,Q2,0,0,6,8,6,12.625,0,0,6,10,6,13.2,0,Q4,Q1,-0.92,Graduate,Q2,Q2,0
3529,1,1,1,9500,1,1,Q1,1,12,1,4,10,Q1,0,0,0,1,1,0,Q2,0,0,7,9,5,12.7,0,0,8,9,7,13.475,0,Q3,Q1,0.79,Enrolled,Q1,Q2,0
2907,2,1,4,9500,1,1,Q2,1,1,37,4,9,Q2,0,0,0,1,0,1,Q1,0,0,7,7,6,14.066666666666668,0,0,7,7,6,14.066666666666668,0,Q1,Q3,0.32,Graduate,Q1,Q2,0
1474,1,17,1,9119,1,1,Q1,1,1,3,9,10,Q1,1,0,0,1,1,0,Q2,0,0,5,7,4,12.0,0,0,5,8,2,12.5,0,Q2,Q2,1.74,Enrolled,Q1,Q1,0
2469,2,39,2,9147,1,1,Q1,1,37,37,9,9,Q1,1,0,0,1,1,0,Q4,0,0,4,4,0,0.0,0,0,5,9,0,0.0,0,Q2,Q2,1.74,Dropout,Q1,Q1,1
281,4,1,1,8014,0,1,Q2,1,39,19,4,10,Q2,1,0,0,1,0,1,Q4,0,0,6,9,5,14.166666666666666,0,0,6,7,6,14.166666666666666,0,Q4,Q1,-0.92,Graduate,Q1,Q2,0
805,1,17,2,9147,1,1,Q1,1,19,1,9,3,Q1,1,0,1,1,0,0,Q2,0,0,5,10,2,11.5,0,0,5,8,3,10.0,0,Q2,Q2,2.02,Enrolled,Q1,Q1,0
535,1,43,1,9991,0,1,Q2,1,3,3,4,4,Q1,1,0,0,1,1,0,Q3,0,0,5,10,4,11.5,0,0,5,11,5,11.285714285714286,0,Q3,Q1,0.79,Graduate,Q1,Q2,0
536,1,39,1,9119,1,1,Q2,1,3,3,4,4,Q2,1,0,0,1,1,0,Q4,0,0,5,10,1,14.0,0,0,5,0,0,0.0,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
3213,1,44,1,9003,1,39,Q2,1,3,19,2,6,Q2,0,0,0,1,1,0,Q2,0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,Q4,Q4,-4.06,Dropout,Q1,Q1,1
2278,1,1,1,9070,1,1,Q1,1,1,1,4,9,Q2,1,0,0,1,1,0,Q1,0,0,6,7,5,11.4,0,0,6,10,3,11.0,3,Q1,Q3,0.32,Enrolled,Q1,Q1,0
1653,1,1,3,9556,1,1,Q1,1,19,19,3,10,Q1,1,0,0,1,0,1,Q2,0,0,7,7,7,13.0,0,0,8,8,8,15.0625,0,Q3,Q2,1.79,Graduate,Q2,Q2,0
3608,1,17,1,9119,1,1,Q1,1,19,1,5,4,Q1,1,0,0,1,1,0,Q2,0,0,5,7,5,15.8,0,0,5,7,5,14.571428571428571,0,Q2,Q2,2.02,Dropout,Q2,Q2,1
361,1,1,1,9773,1,1,Q2,1,37,38,9,7,Q2,0,0,1,1,0,0,Q1,0,0,6,13,3,12.666666666666666,0,0,6,12,2,10.0,0,Q2,Q2,1.74,Dropout,Q1,Q1,1
3743,1,51,1,9085,1,40,Q1,1,3,3,4,2,Q1,0,0,0,1,0,0,Q4,0,0,6,8,6,14.428571428571429,0,0,6,12,4,15.6,0,Q2,Q2,2.02,Enrolled,Q2,Q1,0
2694,1,1,2,9773,1,1,Q2,1,1,1,4,3,Q2,0,0,0,1,1,1,Q1,0,0,6,6,6,12.666666666666666,0,0,6,6,6,11.5,0,Q4,Q1,-0.92,Graduate,Q2,Q2,0
3576,1,17,3,9147,1,1,Q1,1,1,1,3,3,Q1,1,0,0,1,1,0,Q1,0,0,5,7,5,10.2,0,0,5,6,4,10.5,0,Q3,Q2,1.79,Graduate,Q2,Q1,0
1972,1,17,2,9670,1,1,Q1,1,19,19,5,4,Q2,0,0,0,1,0,1,Q1,0,0,6,7,5,11.2,0,0,6,10,5,13.125,0,Q2,Q2,1.74,Dropout,Q1,Q1,1
1565,1,17,6,9238,1,1,Q2,1,1,19,7,7,Q2,1,0,0,1,0,1,Q1,0,0,6,8,6,13.625,0,0,6,7,6,12.166666666666666,0,Q3,Q4,-1.7,Graduate,Q2,Q2,0
668,1,17,5,9500,1,1,Q2,1,1,19,4,8,Q2,1,0,0,1,0,0,Q1,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,Q3,Q2,1.79,Dropout,Q1,Q1,1
1848,1,1,2,9500,1,1,Q2,1,5,5,2,2,Q2,0,0,0,1,1,0,Q1,0,0,7,10,6,13.492857142857144,0,0,8,9,8,12.68888888888889,0,Q3,Q2,1.79,Graduate,Q1,Q2,0
3973,1,43,3,9500,1,1,Q2,1,1,19,9,7,Q2,1,0,1,1,0,1,Q2,0,0,7,9,7,12.327777777777778,0,0,8,10,8,11.736,0,Q4,Q4,-4.06,Graduate,Q2,Q2,0
4256,1,39,1,9500,1,1,Q1,1,1,19,4,8,Q1,0,0,0,1,0,0,Q3,0,0,8,8,7,12.412857142857144,0,0,8,8,7,12.412857142857144,0,Q2,Q2,1.74,Graduate,Q2,Q2,0
1845,1,1,1,9130,1,1,Q2,1,3,19,2,4,Q2,1,0,0,1,1,0,Q1,0,0,6,8,4,11.6,0,0,6,14,2,13.0,0,Q2,Q2,2.02,Dropout,Q1,Q1,1
126,1,44,1,9085,1,39,Q2,1,37,37,9,9,Q2,1,0,0,1,0,0,Q2,0,1,6,7,6,14.166666666666666,0,1,6,17,5,13.77777777777778,0,Q3,Q2,1.79,Graduate,Q2,Q1,0
2513,1,10,2,9085,1,1,Q2,22,19,1,4,9,Q2,0,0,0,1,0,0,Q1,1,0,6,10,6,13.5,0,0,6,12,6,12.0,0,Q3,Q2,1.79,Graduate,Q2,Q2,0
3190,1,39,1,9003,1,1,Q1,1,19,19,9,5,Q1,0,0,0,0,1,0,Q4,0,0,6,9,0,0.0,0,0,6,6,0,0.0,0,Q3,Q1,0.79,Dropout,Q1,Q1,1
177,1,1,2,9500,1,1,Q1,1,34,34,90,90,Q1,1,0,0,1,0,0,Q2,0,0,7,8,4,11.95,0,0,7,8,4,11.95,0,Q1,Q3,0.32,Dropout,Q1,Q1,1
4262,1,17,1,9147,1,1,Q1,1,1,37,3,7,Q1,0,0,0,1,0,0,Q1,0,0,5,10,5,13.285714285714286,0,0,5,8,5,13.0,0,Q3,Q4,-1.7,Graduate,Q2,Q2,0
1454,1,1,1,9119,1,1,Q1,1,3,1,2,3,Q1,0,0,0,1,1,0,Q2,0,0,5,9,4,11.6,0,0,5,7,4,12.25,2,Q1,Q3,0.32,Enrolled,Q1,Q1,0
4087,1,39,1,9500,1,1,Q1,1,38,37,5,7,Q1,1,0,0,1,0,1,Q3,0,0,8,11,7,13.29,3,0,8,11,7,13.29,3,Q1,Q1,-3.12,Enrolled,Q2,Q2,0
991,1,1,1,9130,1,1,Q2,1,3,3,2,2,Q2,1,0,0,1,0,0,Q1,0,0,6,8,6,12.0,0,0,6,8,5,14.8,0,Q3,Q2,1.79,Graduate,Q2,Q1,0
974,2,39,1,9991,0,1,Q2,1,37,19,9,3,Q2,0,0,0,1,1,0,Q4,0,0,5,9,5,12.285714285714286,0,0,5,8,5,11.125,0,Q4,Q1,-0.92,Graduate,Q2,Q2,0
474,1,39,1,9254,1,9,Q2,1,34,34,0,0,Q1,1,0,0,0,0,0,Q4,0,0,5,10,0,0.0,0,0,5,10,0,0.0,0,Q1,Q3,0.32,Dropout,Q1,Q1,1
3474,1,1,5,9119,1,1,Q1,1,38,19,5,3,Q1,0,0,0,1,0,0,Q1,0,0,5,11,0,0.0,0,0,5,8,0,0.0,0,Q1,Q1,-3.12,Dropout,Q1,Q1,1
337,1,1,4,9500,1,1,Q2,1,38,38,7,7,Q2,1,0,0,1,0,1,Q1,0,0,8,8,8,13.39125,0,0,8,8,8,13.39125,0,Q1,Q1,-3.12,Graduate,Q2,Q2,0
2117,1,1,5,9500,1,1,Q2,1,38,38,9,9,Q2,1,0,0,1,0,0,Q1,0,0,8,8,8,12.82875,0,0,8,8,8,12.82875,0,Q1,Q1,-3.12,Dropout,Q2,Q2,1
3588,1,18,1,9773,1,1,Q1,1,38,37,9,8,Q2,0,0,0,1,1,1,Q3,0,0,6,8,5,13.833333333333334,0,0,6,6,4,14.0,0,Q3,Q1,0.79,Graduate,Q1,Q1,0
3193,1,42,1,9070,1,1,Q1,1,3,2,3,1,Q1,0,0,0,1,1,0,Q2,0,6,7,13,7,12.375,0,4,7,8,4,11.25,0,Q3,Q1,0.79,Dropout,Q2,Q1,1
1406,1,18,2,9500,1,1,Q1,1,38,37,5,5,Q1,1,0,0,1,0,1,Q1,0,0,8,8,7,12.342857142857143,0,0,8,8,7,12.342857142857143,0,Q2,Q2,1.74,Graduate,Q2,Q2,0
2386,1,1,5,9773,1,1,Q1,1,37,3,5,2,Q2,1,0,0,1,1,0,Q3,0,0,6,10,5,13.4,0,0,6,12,3,10.666666666666666,0,Q1,Q1,-3.12,Enrolled,Q1,Q1,0
378,1,17,1,9853,1,1,Q1,1,3,3,3,3,Q1,1,0,0,0,0,1,Q1,0,0,7,7,7,12.285714285714286,0,0,7,8,6,13.333333333333334,0,Q1,Q2,3.51,Enrolled,Q2,Q2,0
3982,1,17,1,9500,1,1,Q1,1,1,19,4,3,Q1,1,0,0,1,0,0,Q1,0,0,7,13,5,12.5,0,0,8,14,7,12.166666666666666,0,Q4,Q4,-4.06,Graduate,Q1,Q2,0
1985,1,17,2,9254,1,1,Q1,1,37,37,9,7,Q1,1,0,0,1,0,1,Q2,0,0,6,10,4,11.6,0,0,6,10,4,11.75,0,Q3,Q4,-1.7,Graduate,Q1,Q1,0
3470,1,1,6,9500,1,1,Q2,1,38,19,7,9,Q2,1,0,0,1,0,1,Q1,0,0,8,8,7,13.79857142857143,0,0,8,8,7,13.79857142857143,0,Q2,Q2,1.74,Graduate,Q2,Q2,0
2520,1,1,6,9254,1,1,Q1,1,38,37,5,7,Q1,1,0,0,1,0,1,Q1,0,0,6,7,6,13.0,0,0,6,6,6,13.0,0,Q3,Q2,1.79,Graduate,Q2,Q2,0
2524,1,17,4,9238,1,1,Q2,1,1,19,9,5,Q1,1,0,0,1,0,1,Q1,0,0,6,12,6,11.666666666666666,0,0,6,7,0,0.0,0,Q4,Q4,-4.06,Dropout,Q2,Q1,1
1421,1,1,3,9147,1,1,Q1,1,1,38,5,7,Q1,1,0,0,1,0,1,Q1,0,0,5,5,5,11.6,0,0,5,11,3,12.666666666666666,0,Q1,Q1,-3.12,Enrolled,Q2,Q1,0
2648,1,43,1,8014,0,12,Q2,1,37,1,9,10,Q1,0,0,0,1,1,0,Q4,0,6,13,13,6,11.333333333333334,0,2,11,11,2,13.5,0,Q4,Q1,-0.92,Dropout,Q1,Q1,1
795,1,1,3,9773,1,1,Q2,1,38,38,5,8,Q2,1,0,0,1,0,1,Q1,0,0,6,6,6,14.833333333333334,0,0,6,6,6,14.166666666666666,0,Q1,Q2,3.51,Graduate,Q2,Q2,0
1323,1,17,6,9556,1,1,Q1,1,38,38,5,5,Q1,1,0,0,1,0,1,Q1,0,0,7,11,6,12.4,0,0,7,8,6,12.8,0,Q2,Q2,2.02,Graduate,Q1,Q2,0
3601,1,17,3,9773,1,1,Q2,1,2,1,3,3,Q2,1,0,0,1,1,0,Q1,0,0,6,7,6,13.166666666666666,0,0,6,7,6,12.666666666666666,0,Q4,Q1,-0.92,Graduate,Q2,Q2,0
1568,1,15,1,9556,1,1,Q2,26,19,1,9,4,Q2,0,0,1,1,0,0,Q1,1,0,7,11,0,0.0,4,0,7,11,2,11.666666666666666,0,Q1,Q2,3.51,Enrolled,Q1,Q1,0
4121,1,7,1,9085,1,40,Q1,1,1,1,4,4,Q2,1,0,0,1,0,0,Q3,0,0,6,7,6,17.0,0,0,6,7,6,16.285714285714285,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
3617,1,1,1,9238,1,1,Q1,1,19,38,9,7,Q2,1,0,1,1,0,0,Q1,0,0,6,7,5,13.6,0,0,6,7,5,11.8,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
510,1,1,2,9070,1,1,Q1,1,4,1,2,3,Q1,1,0,0,1,0,0,Q1,0,0,6,8,4,10.75,0,0,6,9,0,0.0,0,Q1,Q1,-3.12,Enrolled,Q1,Q1,0
1463,1,51,1,9119,1,1,Q2,1,1,19,4,4,Q2,0,0,0,1,1,0,Q3,0,0,5,7,2,13.0,0,0,5,11,1,10.0,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
1272,2,1,1,9147,1,1,Q2,1,38,37,9,8,Q2,1,0,0,1,0,0,Q4,0,0,5,7,2,10.0,0,0,5,6,4,12.0,0,Q1,Q3,0.32,Dropout,Q1,Q1,1
3158,1,17,1,9254,1,1,Q1,1,1,1,4,4,Q1,1,0,0,1,1,0,Q3,0,0,6,11,6,11.166666666666666,0,0,6,14,3,14.666666666666666,0,Q1,Q3,0.32,Enrolled,Q2,Q1,0
447,1,1,2,9500,1,1,Q2,1,1,19,7,7,Q2,1,0,0,1,0,0,Q1,0,0,7,8,7,12.92875,0,0,8,8,8,14.0625,0,Q4,Q4,-4.06,Dropout,Q2,Q2,1
1289,1,1,1,9500,1,1,Q1,1,19,19,9,7,Q1,1,0,0,1,1,0,Q3,0,0,7,8,6,14.333333333333334,0,0,8,9,7,13.771428571428572,0,Q2,Q2,2.02,Graduate,Q1,Q2,0
376,1,18,4,9147,1,1,Q1,1,37,37,9,9,Q1,1,0,0,0,0,0,Q4,0,0,5,5,0,0.0,0,0,5,0,0,0.0,0,Q1,Q1,-3.12,Dropout,Q1,Q1,1
4318,1,1,1,171,1,1,Q2,41,1,1,9,7,Q2,1,0,0,0,0,0,Q1,1,6,12,12,12,15.25,0,4,11,12,11,15.0,0,Q1,Q2,3.51,Graduate,Q2,Q2,0
285,2,39,1,9773,1,12,Q1,1,1,1,4,4,Q1,0,0,0,1,0,0,Q3,0,0,6,6,6,12.166666666666666,0,0,6,6,6,13.833333333333334,0,Q1,Q3,0.32,Graduate,Q2,Q2,0
3047,1,1,4,9773,1,1,Q2,1,37,37,0,90,Q2,1,0,0,1,0,0,Q1,0,0,6,6,6,13.166666666666666,0,0,6,8,5,14.2,0,Q2,Q2,1.74,Dropout,Q2,Q1,1
3339,1,17,1,9670,1,1,Q2,1,1,1,4,3,Q2,0,0,0,1,1,0,Q3,0,0,6,6,4,11.25,0,0,6,9,4,10.428571428571429,0,Q2,Q2,1.74,Enrolled,Q1,Q1,0
3066,1,44,1,9070,1,39,Q1,1,1,1,4,10,Q2,1,0,0,1,0,0,Q1,0,2,7,11,6,12.0,0,5,9,9,8,12.75,0,Q4,Q1,-0.92,Graduate,Q1,Q2,0
1560,1,15,1,33,1,1,Q2,41,2,3,2,4,Q1,0,0,0,1,1,0,Q2,1,0,7,10,7,12.857142857142858,0,0,7,7,4,12.75,0,Q1,Q2,3.51,Enrolled,Q2,Q1,0
419,1,1,4,9500,1,1,Q2,1,1,19,4,5,Q2,0,0,0,1,0,0,Q1,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,Q3,Q4,-1.7,Dropout,Q1,Q1,1
3715,1,1,2,9147,1,1,Q1,1,37,1,5,3,Q1,1,0,0,1,1,0,Q2,0,0,5,9,2,14.333333333333334,0,0,5,10,2,12.5,0,Q1,Q3,0.32,Enrolled,Q1,Q1,0
1710,1,44,1,9991,0,39,Q1,1,37,37,9,9,Q2,0,0,0,1,0,0,Q4,0,2,6,12,4,12.25,0,3,7,9,7,12.0,0,Q1,Q1,-3.12,Enrolled,Q1,Q2,0
2162,1,17,1,9238,1,1,Q1,1,19,37,7,9,Q1,0,0,0,1,0,0,Q2,0,0,6,6,0,0.0,0,0,5,5,0,0.0,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
3570,1,17,2,9070,1,1,Q1,1,1,19,144,144,Q1,1,0,0,1,1,0,Q1,0,0,6,9,5,12.0,0,0,6,10,4,11.2,0,Q1,Q2,3.51,Graduate,Q1,Q1,0
1725,2,39,1,9991,0,1,Q1,1,37,37,5,1,Q1,1,0,0,1,0,0,Q4,0,0,5,11,3,11.333333333333334,0,0,5,9,4,12.0,0,Q1,Q1,-3.12,Dropout,Q1,Q1,1
4395,1,17,3,9773,1,1,Q2,1,34,34,99,99,Q2,1,0,1,1,0,1,Q1,0,0,6,8,6,12.166666666666666,0,0,6,8,5,12.4,0,Q1,Q1,-3.12,Dropout,Q2,Q1,1
2826,1,1,2,9670,1,1,Q1,1,1,19,4,7,Q2,1,0,0,1,0,1,Q1,0,0,6,6,6,13.333333333333334,0,0,6,10,5,13.4,0,Q1,Q2,3.51,Graduate,Q2,Q1,0
870,1,1,1,9254,1,1,Q1,1,1,1,191,193,Q1,0,0,0,1,1,0,Q2,0,0,6,8,6,13.142857142857142,0,0,6,7,6,12.5,0,Q1,Q2,3.51,Graduate,Q2,Q2,0
3625,1,1,1,9238,1,1,Q2,1,19,38,7,5,Q1,0,0,0,1,0,0,Q2,0,0,6,13,1,10.0,0,0,6,13,1,13.0,0,Q1,Q1,-3.12,Enrolled,Q1,Q1,0
1833,1,1,1,9147,1,1,Q2,1,19,19,9,9,Q1,1,0,0,0,0,1,Q1,0,0,5,7,3,10.666666666666666,0,0,5,10,3,12.285714285714286,0,Q2,Q2,1.74,Dropout,Q1,Q1,1
92,1,15,1,9130,1,1,Q2,41,1,1,4,4,Q1,0,0,0,1,0,0,Q4,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
1969,1,1,4,9670,1,1,Q1,1,1,2,4,7,Q1,1,0,0,1,0,0,Q1,0,0,6,7,6,13.666666666666666,0,0,6,9,5,15.4,0,Q3,Q1,0.79,Graduate,Q2,Q1,0
2359,1,17,5,9254,1,1,Q1,1,1,1,2,3,Q1,1,0,0,1,1,0,Q3,0,0,6,10,4,11.5,0,0,6,10,2,10.5,0,Q1,Q1,-3.12,Dropout,Q1,Q1,1
2440,1,18,3,9147,1,1,Q2,1,1,38,4,7,Q1,1,0,0,0,1,0,Q3,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
3399,1,17,1,9070,1,1,Q2,1,38,19,5,5,Q2,0,0,0,1,0,1,Q3,0,0,6,6,6,11.5,0,0,6,6,6,12.333333333333334,0,Q1,Q1,-3.12,Graduate,Q2,Q2,0
2375,1,1,1,9670,1,1,Q1,1,37,37,5,8,Q1,0,0,0,0,1,0,Q3,0,0,6,9,4,13.25,0,0,6,6,5,11.0,0,Q3,Q4,-1.7,Dropout,Q1,Q1,1
4066,1,1,1,9556,1,1,Q1,1,19,38,9,9,Q1,1,0,0,1,0,1,Q2,0,0,7,10,7,11.88888888888889,0,0,8,10,8,11.95625,0,Q3,Q4,-1.7,Graduate,Q2,Q2,0
882,1,39,1,9003,1,1,Q1,1,19,37,9,6,Q1,0,0,1,0,1,0,Q4,0,0,6,15,1,11.0,0,0,6,10,0,0.0,0,Q4,Q1,-0.92,Dropout,Q1,Q1,1
2071,1,1,1,9500,1,1,Q2,1,19,3,9,4,Q1,1,0,0,1,0,0,Q1,0,0,7,7,6,12.916666666666666,0,0,7,7,6,12.916666666666666,0,Q1,Q3,0.32,Graduate,Q1,Q2,0
84,2,39,1,8014,0,1,Q1,1,37,37,9,6,Q1,1,0,0,1,0,0,Q4,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,Q1,Q1,-3.12,Graduate,Q2,Q1,0
973,2,43,1,9853,1,1,Q1,1,37,37,7,7,Q1,0,0,0,1,1,0,Q4,0,0,2,4,1,16.0,0,0,4,5,4,15.5,0,Q3,Q1,0.79,Graduate,Q1,Q2,0
208,1,1,1,9085,1,1,Q1,1,19,1,8,7,Q1,1,0,0,1,0,0,Q1,0,0,6,8,6,13.857142857142858,0,0,6,9,5,13.4,0,Q3,Q1,0.79,Graduate,Q2,Q1,0
3390,1,17,1,9853,1,1,Q1,1,38,38,9,9,Q2,0,0,1,1,0,1,Q1,0,0,7,7,7,12.714285714285714,0,0,7,7,7,12.285714285714286,0,Q4,Q1,-0.92,Graduate,Q2,Q2,0
3538,1,17,5,9254,1,1,Q1,1,19,37,5,5,Q1,1,0,0,1,1,0,Q1,0,0,6,12,4,12.5,0,0,6,12,4,10.25,0,Q1,Q3,0.32,Dropout,Q1,Q1,1
825,1,17,3,9670,1,1,Q1,1,1,3,4,3,Q1,1,0,0,1,0,0,Q1,0,0,6,8,6,14.0,0,0,6,9,5,14.0,0,Q1,Q2,3.51,Graduate,Q2,Q1,0
2772,1,1,1,9500,1,1,Q1,1,19,37,3,8,Q1,1,0,0,1,1,0,Q1,0,0,8,10,5,12.858,3,0,8,10,5,12.858,3,Q1,Q1,-3.12,Enrolled,Q1,Q1,0
2938,2,39,1,9991,0,1,Q1,1,37,37,9,3,Q2,0,0,0,1,0,0,Q4,0,0,5,9,4,11.0,0,0,5,10,4,10.75,1,Q1,Q3,0.32,Enrolled,Q1,Q1,0
3059,1,1,3,9500,1,1,Q2,1,19,37,9,9,Q1,1,0,0,1,0,1,Q1,0,0,8,8,7,14.232857142857142,0,0,8,8,7,14.232857142857142,0,Q2,Q2,1.74,Graduate,Q2,Q2,0
2191,1,1,6,9500,1,1,Q2,1,4,19,2,3,Q1,1,0,0,1,1,0,Q1,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,Q4,Q1,-0.92,Dropout,Q1,Q1,1
240,1,1,3,9500,1,1,Q1,1,3,1,4,4,Q1,1,0,0,1,0,0,Q1,0,0,7,10,6,12.471428571428572,0,0,7,8,7,11.4625,0,Q3,Q2,1.79,Enrolled,Q1,Q2,0
1791,1,1,4,9147,1,1,Q2,1,3,1,3,10,Q2,0,0,0,1,1,0,Q1,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
1064,1,1,1,9853,1,1,Q2,1,19,1,5,10,Q2,1,0,1,1,0,0,Q1,0,0,6,9,5,13.6,0,0,6,10,4,11.75,0,Q1,Q1,-3.12,Enrolled,Q1,Q1,0
3165,1,1,1,9085,1,1,Q2,1,1,1,2,7,Q2,1,0,0,1,0,1,Q1,0,0,5,12,5,12.857142857142858,2,0,5,8,4,13.25,0,Q1,Q1,-3.12,Graduate,Q2,Q1,0
4036,1,39,1,9670,1,1,Q1,1,1,19,4,10,Q2,1,0,0,1,0,1,Q4,0,0,6,6,6,13.333333333333334,0,0,6,10,5,14.5,0,Q2,Q2,1.74,Graduate,Q2,Q1,0
1643,1,17,2,8014,0,1,Q1,1,37,19,9,9,Q1,0,0,0,1,0,0,Q2,0,0,6,8,5,12.0,0,0,6,8,6,11.0,0,Q2,Q2,1.74,Graduate,Q1,Q2,0
2594,1,17,1,9147,1,1,Q1,1,19,19,7,7,Q1,1,0,0,1,0,0,Q3,0,0,5,7,2,10.0,1,0,5,9,1,12.0,0,Q1,Q1,-3.12,Enrolled,Q1,Q1,0
1868,1,1,3,171,1,1,Q2,1,37,19,9,8,Q2,1,0,0,1,1,1,Q2,0,6,12,12,12,14.583333333333334,0,4,11,14,11,14.333333333333334,0,Q1,Q2,3.51,Graduate,Q2,Q2,0
2273,2,1,4,8014,0,1,Q2,1,34,34,0,0,Q2,1,0,0,1,1,0,Q4,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Q1,Q1,-3.12,Dropout,Q1,Q1,1
